3,2,23,38,17,28,19,34,30,22,21,32,27,33,29,31,40,4,14,10,36,24,26,35,20,18,25,6,13
23,25,1,29,34,5,31,14,33,28,35,39,22,10,38,37,2,27,32,0,15,18,9,19,40,16,20,26,12
27,22,18,12,21,9,33,29,39,30,26,11,2,16,5,4,6,20,31,3,13,17,1,37,24,0,14,35,28
39,3,22,8,27,5,36,33,11,15,14,16,34,26,6,29,21,37,31,2,30,19,38,9,1,12,0,20,28
16,30,12,40,18,1,3,26,35,34,8,28,4,27,5,31,2,9,15,24,6,11,23,36,38,14,17,29,19
24,7,6,30,5,17,12,27,34,39,15,9,26,4,25,37,32,13,8,10,18,33,22,38,19,20,35,1,21
13,29,23,30,11,37,9,8,27,40,31,25,1,16,12,21,4,18,2,20,10,0,17,38,28,36,15,6,5
40,1,34,2,33,27,17,36,20,8,25,11,6,5,12,18,37,30,13,32,7,15,39,29,38,26,24,3,35
19,21,35,8,16,10,11,32,36,23,14,31,4,17,13,39,15,24,28,12,6,3,38,2,22,29,7,20,37
33,10,40,26,38,27,19,22,24,5,0,7,31,39,23,15,6,1,25,34,35,9,28,3,32,8,37,14,13
