<<<<<<< HEAD
2.160000000000000000e+03 4.620675553776360522e-01
1.434000000000000000e+03 4.683405835108139792e-01
1.074000000000000000e+03 4.695182650661843815e-01
8.700000000000000000e+02 4.836188673372779911e-01
7.880000000000000000e+02 4.573940996086851563e-01
7.190000000000000000e+02 4.639450588982497181e-01
8.570000000000000000e+02 4.704928866086347528e-01
7.880000000000000000e+02 4.819734843569797866e-01
5.590000000000000000e+02 4.865806020348750760e-01
1.017000000000000000e+03 4.714521248023790245e-01
8.700000000000000000e+02 4.811764689262015837e-01
8.600000000000000000e+02 4.751980373679916547e-01
7.090000000000000000e+02 4.772738534455018278e-01
7.310000000000000000e+02 4.788789036618927297e-01
7.420000000000000000e+02 4.744919604172013750e-01
7.040000000000000000e+02 4.802178838428495244e-01
6.170000000000000000e+02 4.828446703043187127e-01
9.660000000000000000e+02 4.748707709071273708e-01
7.020000000000000000e+02 4.800370182929246665e-01
6.160000000000000000e+02 4.862068716472923713e-01
3.000000000000000000e+02 4.915249285368544219e-01
4.380000000000000000e+02 4.812476984684554426e-01
4.440000000000000000e+02 4.827109176275817259e-01
5.110000000000000000e+02 4.818524022705714116e-01
4.770000000000000000e+02 4.811081078076813178e-01
4.830000000000000000e+02 4.900569012766926580e-01
4.940000000000000000e+02 4.802657941160529687e-01
4.610000000000000000e+02 4.750728191291616609e-01
4.890000000000000000e+02 4.822029084781095376e-01
5.270000000000000000e+02 4.790825984287350181e-01
4.610000000000000000e+02 4.816725746812104969e-01
4.680000000000000000e+02 4.774248745668854266e-01
4.980000000000000000e+02 4.757026474147143524e-01
4.920000000000000000e+02 4.811896275380558863e-01
5.200000000000000000e+02 4.799978857879333982e-01
4.630000000000000000e+02 4.798547073459692447e-01
4.780000000000000000e+02 4.816234182858999957e-01
4.590000000000000000e+02 4.842663808206265075e-01
4.290000000000000000e+02 4.817406464554363499e-01
4.620000000000000000e+02 4.862433218707270521e-01
4.870000000000000000e+02 4.770984549350533732e-01
=======
2.160000000000000000e+03 2.014036127583623738e+03
1.434000000000000000e+03 1.566227195608261582e+03
1.074000000000000000e+03 1.163794767061891434e+03
8.700000000000000000e+02 1.088638776528975086e+03
7.880000000000000000e+02 7.881173811611296287e+02
7.190000000000000000e+02 7.814589824943917620e+02
8.570000000000000000e+02 8.968936508398213618e+02
7.880000000000000000e+02 8.003143634242354665e+02
5.590000000000000000e+02 5.640017930652999212e+02
1.017000000000000000e+03 9.347337330667991182e+02
8.700000000000000000e+02 9.543914936295744837e+02
8.600000000000000000e+02 8.664543661955796097e+02
7.090000000000000000e+02 8.384138263611833963e+02
7.310000000000000000e+02 7.063967197020568847e+02
7.420000000000000000e+02 8.601679489107915515e+02
7.040000000000000000e+02 6.709583764766829290e+02
6.170000000000000000e+02 4.927633798375372294e+02
9.660000000000000000e+02 1.169771564866455265e+03
7.020000000000000000e+02 7.287620708239170426e+02
6.160000000000000000e+02 6.285850682059007113e+02
3.000000000000000000e+02 2.992090533443360414e+02
4.380000000000000000e+02 5.400510878151150109e+02
4.440000000000000000e+02 4.829984401080869247e+02
5.110000000000000000e+02 4.298739766781760636e+02
4.770000000000000000e+02 5.068085880007061519e+02
4.830000000000000000e+02 4.493445248296852128e+02
4.940000000000000000e+02 4.375408011338613505e+02
4.610000000000000000e+02 2.971230346678638057e+02
4.890000000000000000e+02 5.778171632289581794e+02
5.270000000000000000e+02 6.077390455642641882e+02
4.610000000000000000e+02 4.338604578204482891e+02
4.680000000000000000e+02 4.942813247711756617e+02
4.980000000000000000e+02 6.844938261547636102e+02
4.920000000000000000e+02 5.525658490395230729e+02
5.200000000000000000e+02 7.155179897728044125e+02
4.630000000000000000e+02 4.892471097784352878e+02
4.780000000000000000e+02 5.605836546749214904e+02
4.590000000000000000e+02 5.695939114043388827e+02
4.290000000000000000e+02 4.480002407544191669e+02
4.620000000000000000e+02 4.435742399034633650e+02
4.870000000000000000e+02 5.970523241873185043e+02
>>>>>>> 8082ad2d9dbc95abdcbef71f3c75ee44c1e57757
