<<<<<<< HEAD
8.570000000000000000e+02 4.418475210973344391e-01
7.610000000000000000e+02 4.519170890125110418e-01
7.430000000000000000e+02 4.556528554041937018e-01
7.780000000000000000e+02 4.488901695057042063e-01
6.570000000000000000e+02 4.518739812410433876e-01
9.140000000000000000e+02 4.442020909325514189e-01
7.070000000000000000e+02 4.451190706537481723e-01
5.300000000000000000e+02 4.639871600970392751e-01
6.780000000000000000e+02 4.517429386440444672e-01
4.430000000000000000e+02 4.769093707272882288e-01
8.730000000000000000e+02 4.596512814691400273e-01
8.640000000000000000e+02 4.593674438077253730e-01
8.190000000000000000e+02 4.582033540398310900e-01
7.720000000000000000e+02 4.629006523395420292e-01
6.080000000000000000e+02 4.652630977004553747e-01
6.760000000000000000e+02 4.614948367582812905e-01
9.100000000000000000e+02 4.577331057812765724e-01
8.280000000000000000e+02 4.438036527766142103e-01
9.070000000000000000e+02 4.511331207104231633e-01
9.920000000000000000e+02 4.523271545423998563e-01
7.480000000000000000e+02 4.466707241796646355e-01
7.740000000000000000e+02 4.560530352242322949e-01
6.720000000000000000e+02 4.610348884308687056e-01
1.039000000000000000e+03 4.490677615649988352e-01
9.890000000000000000e+02 4.505195594639336276e-01
4.540000000000000000e+02 4.555357376690930549e-01
4.770000000000000000e+02 4.561776384871487622e-01
5.010000000000000000e+02 4.544185034200753370e-01
8.290000000000000000e+02 4.632776353994101370e-01
8.880000000000000000e+02 4.632399098997710407e-01
6.160000000000000000e+02 4.537072906387600857e-01
5.600000000000000000e+02 4.626813155682724665e-01
7.550000000000000000e+02 4.576964810067848388e-01
5.060000000000000000e+02 4.758114739753343536e-01
8.920000000000000000e+02 4.509828579304241969e-01
1.082000000000000000e+03 4.535737480370046759e-01
6.000000000000000000e+02 4.673997128048920091e-01
8.640000000000000000e+02 4.464596455353824767e-01
1.056000000000000000e+03 4.584207159214039873e-01
7.390000000000000000e+02 4.551835891826130909e-01
8.720000000000000000e+02 4.542294960006820204e-01
8.370000000000000000e+02 4.577937923351619309e-01
7.750000000000000000e+02 4.514453799971256953e-01
7.510000000000000000e+02 4.449059377426449191e-01
9.430000000000000000e+02 4.462493698420833543e-01
=======
8.570000000000000000e+02 8.665428992994123973e+02
7.610000000000000000e+02 7.820188762269839344e+02
7.430000000000000000e+02 7.909341056667353769e+02
7.780000000000000000e+02 7.023251006949701605e+02
6.570000000000000000e+02 5.509396415095700377e+02
9.140000000000000000e+02 6.353460746998870263e+02
7.070000000000000000e+02 6.029511206525950229e+02
5.300000000000000000e+02 5.312106292393086733e+02
6.780000000000000000e+02 7.537795828972886056e+02
4.430000000000000000e+02 3.930973013722710903e+02
8.730000000000000000e+02 1.007466364331296518e+03
8.640000000000000000e+02 8.350792136961770211e+02
8.190000000000000000e+02 8.853929997448434506e+02
7.720000000000000000e+02 1.036773487544923228e+03
6.080000000000000000e+02 7.153295357511659631e+02
6.760000000000000000e+02 9.158270108557337608e+02
9.100000000000000000e+02 8.173348963188261678e+02
8.280000000000000000e+02 7.551045144418402515e+02
9.070000000000000000e+02 9.431848959404339894e+02
9.920000000000000000e+02 7.364873576350761368e+02
7.480000000000000000e+02 7.082607999655823505e+02
7.740000000000000000e+02 8.144960874244801516e+02
6.720000000000000000e+02 5.739727036609416473e+02
1.039000000000000000e+03 9.024523014604304763e+02
9.890000000000000000e+02 7.250235124731054839e+02
4.540000000000000000e+02 3.672425056388104849e+02
4.770000000000000000e+02 3.990357956420654659e+02
5.010000000000000000e+02 4.343182027542752621e+02
8.290000000000000000e+02 9.420580911738542227e+02
8.880000000000000000e+02 9.487701151970838964e+02
6.160000000000000000e+02 7.385930421288309162e+02
5.600000000000000000e+02 5.587509394537090657e+02
7.550000000000000000e+02 7.988230394637312202e+02
5.060000000000000000e+02 4.982347835916610848e+02
8.920000000000000000e+02 8.983919456643527610e+02
1.082000000000000000e+03 9.409008482932432571e+02
6.000000000000000000e+02 6.055267244844619654e+02
8.640000000000000000e+02 7.404788815886578277e+02
1.056000000000000000e+03 8.687692428608053206e+02
7.390000000000000000e+02 6.790513815023047073e+02
8.720000000000000000e+02 1.177995145914953127e+03
8.370000000000000000e+02 7.780549560658259907e+02
7.750000000000000000e+02 8.592797300411477863e+02
7.510000000000000000e+02 7.751572257307112750e+02
9.430000000000000000e+02 7.248330420362055975e+02
>>>>>>> 8082ad2d9dbc95abdcbef71f3c75ee44c1e57757
