<<<<<<< HEAD
1.852000000000000000e+03 4.588534614091283048e-01
2.237000000000000000e+03 4.724880959868632546e-01
1.709000000000000000e+03 4.665167240776617597e-01
6.360000000000000000e+02 4.747776995710651371e-01
1.054000000000000000e+03 4.742941246030352165e-01
8.800000000000000000e+02 4.686821123366289865e-01
8.620000000000000000e+02 4.736802479905570795e-01
6.910000000000000000e+02 4.756202037360737211e-01
5.340000000000000000e+02 4.815135402034089185e-01
1.014000000000000000e+03 4.730740307060343208e-01
8.540000000000000000e+02 4.704342653750741565e-01
8.420000000000000000e+02 4.750267300440996210e-01
9.170000000000000000e+02 4.763138115215118096e-01
8.760000000000000000e+02 4.853021758520789652e-01
7.570000000000000000e+02 4.859751190855784442e-01
7.030000000000000000e+02 4.741723033324219960e-01
6.480000000000000000e+02 4.769002163149869133e-01
6.250000000000000000e+02 4.833837115844994425e-01
1.051000000000000000e+03 4.722492271313078471e-01
6.510000000000000000e+02 4.745122103693000248e-01
5.990000000000000000e+02 4.862361012150083206e-01
3.350000000000000000e+02 4.882420122531248019e-01
4.800000000000000000e+02 4.771688849628296647e-01
5.610000000000000000e+02 4.753939269385752397e-01
4.580000000000000000e+02 4.817442328109723393e-01
4.850000000000000000e+02 4.824787074662898467e-01
4.870000000000000000e+02 4.754789854864944765e-01
5.020000000000000000e+02 4.801720927411101680e-01
5.130000000000000000e+02 4.826803915250869048e-01
4.950000000000000000e+02 4.741005939080132903e-01
4.710000000000000000e+02 4.848365617279203343e-01
5.090000000000000000e+02 4.799989377853752792e-01
4.810000000000000000e+02 4.760834231369232006e-01
5.190000000000000000e+02 4.821480031529215560e-01
4.990000000000000000e+02 4.753449503489516337e-01
5.350000000000000000e+02 4.811660438114782612e-01
4.650000000000000000e+02 4.803539021596052727e-01
4.990000000000000000e+02 4.823405261736312122e-01
4.660000000000000000e+02 4.812290239464822039e-01
4.570000000000000000e+02 4.828016720679089158e-01
4.290000000000000000e+02 4.851655471345561188e-01
7.130000000000000000e+02 4.543213336349635756e-01
=======
1.852000000000000000e+03 1.900835143007180932e+03
2.237000000000000000e+03 1.141785597728137191e+03
1.709000000000000000e+03 1.703003712185525046e+03
6.360000000000000000e+02 8.152962211685360217e+02
1.054000000000000000e+03 1.196627087714909294e+03
8.800000000000000000e+02 9.481782806989523351e+02
8.620000000000000000e+02 1.154334155072291423e+03
6.910000000000000000e+02 5.438056668166032068e+02
5.340000000000000000e+02 5.017002099012350982e+02
1.014000000000000000e+03 1.074725621404869571e+03
8.540000000000000000e+02 1.030586390725274214e+03
8.420000000000000000e+02 9.240007242824976856e+02
9.170000000000000000e+02 8.826998766288753586e+02
8.760000000000000000e+02 1.017709862696676282e+03
7.570000000000000000e+02 8.848642301743485632e+02
7.030000000000000000e+02 6.903236451102510500e+02
6.480000000000000000e+02 6.953503145847265614e+02
6.250000000000000000e+02 6.518705368143067744e+02
1.051000000000000000e+03 1.117678392843265783e+03
6.510000000000000000e+02 6.072687223584915728e+02
5.990000000000000000e+02 6.122282451622299959e+02
3.350000000000000000e+02 3.122278156454253804e+02
4.800000000000000000e+02 5.386699228858952893e+02
5.610000000000000000e+02 5.986207743501213372e+02
4.580000000000000000e+02 4.733409104348153846e+02
4.850000000000000000e+02 5.979639120796658744e+02
4.870000000000000000e+02 4.874420109138466728e+02
5.020000000000000000e+02 8.252628873963699334e+02
5.130000000000000000e+02 6.329791273224929000e+02
4.950000000000000000e+02 6.179629712269094171e+02
4.710000000000000000e+02 5.107793205723758092e+02
5.090000000000000000e+02 5.369361140152287817e+02
4.810000000000000000e+02 5.505664959620942227e+02
5.190000000000000000e+02 5.326644201818763804e+02
4.990000000000000000e+02 6.111840257719593410e+02
5.350000000000000000e+02 6.775496263471827660e+02
4.650000000000000000e+02 5.024547359914599269e+02
4.990000000000000000e+02 5.804767586249481610e+02
4.660000000000000000e+02 6.379924188031731092e+02
4.570000000000000000e+02 4.663395760441438824e+02
4.290000000000000000e+02 4.459719431269460301e+02
7.130000000000000000e+02 5.488621665015992903e+02
>>>>>>> 8082ad2d9dbc95abdcbef71f3c75ee44c1e57757
