1.009000000000000000e+03 1.075719355264630394e+03
1.063000000000000000e+03 1.127964990797018572e+03
1.115000000000000000e+03 1.013711058080221278e+03
1.048000000000000000e+03 1.173546038301638418e+03
8.280000000000000000e+02 8.306075382304105688e+02
6.670000000000000000e+02 6.097543660900728355e+02
1.836000000000000000e+03 1.447712791460232665e+03
8.280000000000000000e+02 9.057477657120725780e+02
1.039000000000000000e+03 8.127268578970135877e+02
1.078000000000000000e+03 1.224978690132649717e+03
8.170000000000000000e+02 7.836702800927989756e+02
9.320000000000000000e+02 7.729901510982961099e+02
8.160000000000000000e+02 9.185648139783069155e+02
8.580000000000000000e+02 8.807673939713785103e+02
8.760000000000000000e+02 8.797568679976221802e+02
1.638000000000000000e+03 1.626417318987043473e+03
1.315000000000000000e+03 1.307100690767204014e+03
1.146000000000000000e+03 1.174185787464303530e+03
1.155000000000000000e+03 1.098363600245147154e+03
8.130000000000000000e+02 9.377135473588658670e+02
7.720000000000000000e+02 7.696988983532096427e+02
1.002000000000000000e+03 7.613286753964370064e+02
8.250000000000000000e+02 7.954471561512103790e+02
9.890000000000000000e+02 9.406222759650996750e+02
1.028000000000000000e+03 1.163205732551793062e+03
8.500000000000000000e+02 9.283817390223586017e+02
5.410000000000000000e+02 4.837424121108969075e+02
8.580000000000000000e+02 8.948886188691219559e+02
9.350000000000000000e+02 1.017316021893244397e+03
7.310000000000000000e+02 7.350835543483896117e+02
1.284000000000000000e+03 1.277597769341121875e+03
1.158000000000000000e+03 1.110908531962249072e+03
1.093000000000000000e+03 1.115955934216991864e+03
9.230000000000000000e+02 1.025559116773235928e+03
1.935000000000000000e+03 1.209216307091014869e+03
1.156000000000000000e+03 1.146521665262781426e+03
7.960000000000000000e+02 1.047325301411082819e+03
7.860000000000000000e+02 9.028587747193265614e+02
9.400000000000000000e+02 9.932819546070520573e+02
1.801000000000000000e+03 1.573439493163251655e+03
